sample_type,sample_subtype,pisco_classcode,genus,species,description
FISH,FISH,AAFF,Atherinops,affinis,"Topsmelt,"
FISH,FISH,ACAL,Atherinopsis,californiensis,"Jacksmelt,"
FISH,FISH,ACOR,Artedius,corallinus,"Coralline Sculpin,"
FISH,FISH,ADAV,Anisotremus,davidsonii,"Sargo,"
FISH,FISH,AFLA,Aulorhynchus,flavidus,"Tubesnout,"
FISH,FISH,AHOL,Alloclinus,holderi,"Island Kelpfish,"
FISH,FISH,AINE,Anoplagonus,inermis,"Smooth alligatorfish,"
FISH,FISH,ANOB,Atractoscion,nobilis,"white seabass,"
FISH,FISH,AOCE,Anarrhichthys,ocellatus,"Wolf Eel,"
FISH,FISH,APFL,Apodichthys,flavidus,"Penpiont Gunnel,"
FISH,FISH,ASAN,Apodichthys,sanctaerosae,"Kelp Gunnel,"
FISH,FISH,ATHE,Atherinidae,spp.,"Grunion, Topsmelt or Jacksmelt, unidentified sp."
FISH,FISH,AVUL,Alopias,vulpinus,"Thresher Shark,"
FISH,FISH,BAITBALL,,,"Bait, Sardines/Anchovies,"
FISH,FISH,BATH,Bathymasteridae,spp.,"Ronquils, unidentified sp., possibly Rathbunella hypoplecta"
FISH,FISH,BFRE,Brachyistius,frenatus,"Kelp Surfperch,"
FISH,FISH,BLEN,Blenniidae,spp.,"Blennies, unidentifed sp."
FISH,FISH,BOTH,Bothidae,spp.,"Lefteyed flounders, unidentifed sp."
FISH,FISH,BPOL,Balistes,polylepis,"Finescale Triggerfish,"
FISH,FISH,BRAY,Myliobatis,californica,"Bat Ray,"
FISH,FISH,CAGG,Cymatogaster,aggregata,"Shiner Surfperch,"
FISH,FISH,CANA,Clinocottus,analis,"Wooly Sculpin,"
FISH,FISH,CFAL,Chaetodon,falcifer,"Scythemarked Butterflyfish,"
FISH,FISH,CITH,Citharichthys,spp.,"Sanddabs, unidentifed sp."
FISH,FISH,CLIN,Clinidae,spp.,"Kelpfishes and Fringeheads, unidentifed sp."
FISH,FISH,CLUP,Clupeidae,spp.,"Sardines and anchovies, unidentifed sp."
FISH,FISH,CNUG,Chirolophis,nugator,"Mosshead warbonnet,"
FISH,FISH,COTT,Cottidae,spp.,"Sculpins, unidentifed sp."
FISH,FISH,CPRI,Caulolatilus,princeps,"Ocean Whitefish,"
FISH,FISH,CPUG,Chitonotus,pugetensis,"Roughback Sculpin,"
FISH,FISH,CPUN,Chromis,punctipinnis,"Blacksmith,"
FISH,FISH,CSAT,Cheilotrema,saturnum,"Black Croaker,"
FISH,FISH,CSOR,Citharichthys,sordidus,"Pacific Sanddab,"
FISH,FISH,CSTI,Citharichthys,stigmaeus,"Speckled Sanddab,"
FISH,FISH,CVEN,Cephaloscyllium,ventriosum,"Swell Shark,"
FISH,FISH,CVIO,Cebidichthys,violaceus,"Monkeyface Eel,"
FISH,FISH,EBIS,Enophrys,bison,"Buffalo sculpin,"
FISH,FISH,EJAC,Embiotoca,jacksoni,"Black Surfperch,"
FISH,FISH,ELAT,Embiotoca,lateralis,"Striped Surfperch,"
FISH,FISH,EMBI,Embiotocidae,spp.,"Surfperches, unidentifed sp."
FISH,FISH,EMOR,Engraulis,mordax,"Northern Anchovy,"
FISH,FISH,EWAL,Ernogrammus,walkeri,"Masked prickleback,"
FISH,FISH,GBY,,,"Sebastes chrysomelas or S. carnatus Rockfish young of year, Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs)"
FISH,FISH,GGAL,Galeorhinus,galeus,"Tope Shark,"
FISH,FISH,GIBB,Gibbonsia,spp.,"Kelpfish, unidentified sp."
FISH,FISH,GMAE,Gobiesox,maeandricus,"Northern Clingfish,"
FISH,FISH,GMOR,Gymnothorax,mordax,"California Moray,"
FISH,FISH,GNIG,Girella,nigricans,"Opaleye,"
FISH,FISH,GOBI,Gobiidae,spp.,"Gobies, unidentified sp."
FISH,FISH,HANA,Hyperprosopon,analis,"Spotfin Surfperch,"
FISH,FISH,HARG,Hyperprosopon,argenteum,"Walleye Surfperch,"
FISH,FISH,HAZU,Hermosilla,azurea,"Zebra-perch sea chub,"
FISH,FISH,HCAR,Hypsurus,caryi,"Rainbow Surfperch,"
FISH,FISH,HDEC,Hexagrammos,decagrammus,"Kelp Greenling,"
FISH,FISH,HELL,Hyperprosopon,ellipticum,"Silver Surfperch,"
FISH,FISH,HEXA,Hexagrammos,spp.,"unidentified Hexagrammos, used first in NCCSR 2010 for juveniles too small to distinguish between HDEC and HLAG"
FISH,FISH,HFRA,Heterodontus,francisci,"Horn Shark,"
FISH,FISH,HHEM,Hemilepidotus,hemilepidotus,"Red Irish Lord,"
FISH,FISH,HLAG,Hexagrammos,lagocephalus,"Rock Greenling,"
FISH,FISH,HROS,Heterostichus,rostratus,"Giant Kelpfish,"
FISH,FISH,HRUB,Hypsypops,rubicundus,"Garibaldi,"
FISH,FISH,HSEM,Halicoeres,semicinctus,"Rock Wrasse,"
FISH,FISH,HSTE,Hexagrammos,stelleri,"Whitespotted greenling,"
FISH,FISH,JZON,Jordania,zonope,"Longfin Sculpin,"
FISH,FISH,KGB,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus","Kelp, Gopher,.Black and Yellow or Copper Rockfish young of the year, This species group includes Sebastes atrovirens, S. carnatus, S. chrysomelas, S. caurinus (Kelp/Gopher/Black and Yellow/Copper)"
FISH,FISH,KSEI,Kasatkia,seigeli,"Six-spot Prickleback,"
FISH,FISH,LCON,Lethops,connectens,"Kelp Goby, Halfblind Goby,"
FISH,FISH,LDAL,Lythrypnus,dalli,"Bluebanded Goby,"
FISH,FISH,LHIR,Leiocottus,hirundo,"Lavender Sculpin,"
FISH,FISH,LIPA,Liparis,sp.,"Snailfish, unidentified sp."
FISH,FISH,LLEP,Lepidogobius,lepidus,"bay goby,"
FISH,FISH,LMUC,Liparis,mucosus,"Slimy Snailfish,"
FISH,FISH,MCAL,Medialuna,californiensis,"Halfmoon,"
FISH,FISH,MCEP,Mugil,cephalus,"Mullet,"
FISH,FISH,MMOL,Mola,Mola,"Ocean Sunfish,"
FISH,FISH,MXEN,Mycteroperca,xenarcha,"Broomtail grouper,"
FISH,FISH,NO_ORG,,,"No organisms present in this sample,"
FISH,FISH,NSTE,Neoclinus,stephensae,"Yellowfin Fringehead,"
FISH,FISH,NUNI,Neoclinus,uninotatus,"Onespot Fringehead,"
FISH,FISH,OCAL,Oxyjulis,californica,"Senorita,"
FISH,FISH,OELO,Ophiodon,elongatus,"Lingcod,"
FISH,FISH,OPIC,Oxylebius,pictus,"Painted Greenling,"
FISH,FISH,OTRI,Orthonopias,triacis,"snubnose sculpin,"
FISH,FISH,OYB,Sebastes,"serranoides,flavidus,melanops","olive, yellowtail or black rockfish young of the year, This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black)"
FISH,FISH,OYT,Sebastes,"serranoides,flavidus","olive or yellowtail  rockfish, This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail)"
FISH,FISH,PATR,Phanerodon,atripes,"sharpnose surfperch,"
FISH,FISH,PCAL,Paralichthys,californicus,"california halibut,"
FISH,FISH,PCLA,Paralabrax,clathratus,"kelp bass, calico bass,"
FISH,FISH,PCOE,Plueronichthys,coenosus,"C-O turbot,"
FISH,FISH,PFUR,Phanerodon,furcatus,"white surfperch,"
FISH,FISH,PGLA,Prionace,glauca,"blue shark,"
FISH,FISH,PHOL,Pholididae,spp.,"Gunnels, unidentified sp.  'Apodichthys flavidus-penpoint gunnel lumped in with PHOL"
FISH,FISH,PLEU,Pleuronectidae,spp.,"Righteyed flounders, unidentified sp."
FISH,FISH,PMAC,Paralabrax,maculatofasciatus,"spotted sandbass,"
FISH,FISH,PNEB,Paralabrax,nebulifer,"barred sandbass,"
FISH,FISH,PNOT,Porichthys,notatus,"plainfin midshipman,"
FISH,FISH,PTRI,Platyrhinoides,triseriata,"thornback,"
FISH,FISH,RALL,Rathbunella,alleni,"stripefin ronquil,"
FISH,FISH,RBIN,Raja,binoculata,"big skate,"
FISH,FISH,RHYP,Rathbunella,hypoplecta,"smooth ronquil,"
FISH,FISH,RJOR,Ronquilus,jordani,"northern ronquil,"
FISH,FISH,RNIC,Rhinogobiops,nicholsii,"Blackeye Goby,"
FISH,FISH,RRIC,Rhamphocottus,richardsoni,"Grunt sculpin,"
FISH,FISH,RSTE,Raja,stellulata,"Starry Skate,"
FISH,FISH,RTOX,Rhacochilus,toxotes,"rubberlip surfperch,"
FISH,FISH,RVAC,Rhacochilus,vacca,"Pile Surfperch,"
FISH,FISH,RYOY,Sebastes,spp.,"Rockfish young of the year, unidentified sp., Any unidentified YOY rockfish"
FISH,FISH,SACA,Squalus,acanthias,"Spiny dogfish,"
FISH,FISH,SARG,Sphyraena,argentea,"california barracuda,"
FISH,FISH,SATR,Sebastes,atrovirens,"kelp rockfish,"
FISH,FISH,SAUR,Sebastes,auriculatus,"brown rockfish,"
FISH,FISH,SCAL,Squatina,californica,"pacific angel shark,"
FISH,FISH,SCAR,Sebastes,carnatus,"gopher rockfish,"
FISH,FISH,SCAU,Sebastes,caurinus,"copper rockfish,"
FISH,FISH,SCHI,Sarda,chiliensis,"eastern pacific bonito,"
FISH,FISH,SCHR,Sebastes,chrysomelas,"black and yellow rockfish,"
FISH,FISH,SDAL,Sebastes,dalli,"calico rockfish,"
FISH,FISH,SDIP,Sebastes,diploproa,"spitnose rockfish,"
FISH,FISH,SEBSPP,,,"Rockfish, unidentified sp.,"
FISH,FISH,SENT,Sebastes,entomelas,"widow rockfish,"
FISH,FISH,SGIG,Stereolepis,gigas,"giant sea bass,"
FISH,FISH,SGUT,Scorpaena,guttata,"california scorpionfish, sculpin,"
FISH,FISH,SHOP,Sebastes,hopkinsi,"squarespot rockfish,"
FISH,FISH,SJAP,Scomber,japonicus,"pacific mackerel, greenback mackerel,"
FISH,FISH,SLAL,Seriola,lalandi,"yellowtail,"
FISH,FISH,SLUC,Synodus,lucioceps,"California lizardfish,"
FISH,FISH,SMAL,Sebastes,maliger,"Quillback rockfish,"
FISH,FISH,SMAR,Scorpaenichthys,marmoratus,"cabezon,"
FISH,FISH,SMEL,Sebastes,melanops,"black rockfish, juveniles very similar to OYT"
FISH,FISH,SMIN,Sebastes,miniatus,"vermilion rockfish,"
FISH,FISH,SMYS,Sebastes,mystinus,"blue rockfish,"
FISH,FISH,SNEB,Sebastes,nebulosus,"china rockfish,"
FISH,FISH,SPAU,Sebastes,paucispinis,"bocaccio,"
FISH,FISH,SPIN,Sebastes,pinniger,"canary rockfish,"
FISH,FISH,SPUL,Semicossyphus,pulcher,"california sheephead,"
FISH,FISH,SRAS,Sebastes,rastrelliger,"grass rockfish,"
FISH,FISH,SROS,Sebastes,rosaceus,"rosy rockfish,"
FISH,FISH,SRUB,Sebastes,rubrivinctus,"flag rockfish,"
FISH,FISH,SSAG,Sardinops,sagax,"pacific sardine,"
FISH,FISH,SSAX,Sebastes,saxicola,"stripetail rockfish,"
FISH,FISH,SSEM,Sebastes,semicinctus,"halfbanded rockfish,"
FISH,FISH,STICH,Stichaeidae,spp.,"Pricklebacks, unidentified sp."
FISH,FISH,STRE,Sebastes,serriceps,"treefish,"
FISH,FISH,SYNG,Syngnathus,spp.,"pipefish, unidentified sp."
FISH,FISH,SYRI,Synchirus / Rimicola,spp.,"Manacled sculpin/Kelp clingfish, Combined species group of Synchirus gilli and Rimicola muscarum"
FISH,FISH,TCAL,Torpedo,californica,"pacific electric ray,"
FISH,FISH,TSEM,Triakis,semifasciata,"leopard shark,"
FISH,FISH,TSYM,Trachurus,symmetricus,"jack mackerel,"
FISH,FISH,UHAL,Urobatis,halleri,"Haller's round ray,"
FISH,FISH,UNID,,,"Unidentified Fish,"
FISH,FISH,XCAL,Xenistius,californiensis,"Californian Salema,"
FISH,FISH,ZROS,Zalembius,rosaceus,"pink surfperch,"
FISH,SMURF,,,,","
FISH,SMURF,,,,"0,"
FISH,SMURF,AFLA,Aulorhynchus,flavidus,"Tubesnout,"
FISH,SMURF,AFUC,Apodichthys,fucorum,"Rockweed Gunnel,"
FISH,SMURF,APFL,Apodichthys,flavidus,"Penpiont Gunnel,"
FISH,SMURF,BAIT,,,"Unidentified,"
FISH,SMURF,BFRE,Brachyistius,frenatus,"Kelp Surfperch,"
FISH,SMURF,BOTH,Bothidae,spp.,"Lefteyed flounders, unidentifed sp."
FISH,SMURF,CANA,Clinocottus,analis,"Wooly Sculpin,"
FISH,SMURF,COTT,,,"0,"
FISH,SMURF,COTT,Cottidae,spp.,"Sculpins, unidentifed sp."
FISH,SMURF,CVIO,Cebidichthys,violaceus,"Monkeyface Eel,"
FISH,SMURF,EBIS,Enophrys,bison,"Buffalo sculpin,"
FISH,SMURF,EEL??,,,"Unidentified,"
FISH,SMURF,EELSP??,,,"Unidentified,"
FISH,SMURF,EMOR,Engaulis,mordax,"Northern Anchovy,"
FISH,SMURF,GBY,,,"Sebastes chrysomelas or S. carnatus Rockfish young of year, Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs)"
FISH,SMURF,GELE,Gibbonsia,elegans,"Spotted kelpfish,"
FISH,SMURF,GIBB,Gibbonsia,spp.,"Kelpfish, unidentified sp."
FISH,SMURF,GMAE,Gobiesox,maeandricus,"Northern Clingfish,"
FISH,SMURF,GNIG,Girella,nigricans,"Opaleye,"
FISH,SMURF,GOBI,Gobiidae,spp.,"Gobies,"
FISH,SMURF,GSOC,,,"0,"
FISH,SMURF,HDEC,Hexagrammus,decagrammos,"Kelp Greenling,"
FISH,SMURF,HRUB,Hypsypops,rubicundus,"Garibaldi,"
FISH,SMURF,ILOC,Icichthys,lockingtoni,"Medusa fish,"
FISH,SMURF,KGB,Sebastes,"atrovirens,carnatus,chrysomelas,caurinus","Kelp, Gopher,.Black and Yellow or Copper Rockfish young of the year, This species group includes Sebastes atrovirens, S. carnatus, S. chrysomelas, S. caurinus (Kelp/Gopher/Black and Yellow/Copper)"
FISH,SMURF,LCON,Lethops,connectens,"Kelp Goby, Halfblind Goby,"
FISH,SMURF,LIPA,Liparis,pulchellus,"Snailfish,"
FISH,SMURF,LIPA,Liparis,spp.,"Snailfish,"
FISH,SMURF,MAR,,,"0,"
FISH,SMURF,NAUTICHT,,,"0,"
FISH,SMURF,NOCU,oculofascuatus,Sailfin Sculpin,","
FISH,SMURF,NO_ORG,,,"No organisms present in this sample,"
FISH,SMURF,OELO,Ophiodon,elongatus,"Lingcod,"
FISH,SMURF,OPIC,Oxylebius,pictus,"Painted Greenling,"
FISH,SMURF,ORIM,Oligocottus,rimensis,"Saddleback sculpin,"
FISH,SMURF,OSNY,Oligocottus,snyderi,"fluffy sculpin,"
FISH,SMURF,OYB,Sebastes,"serranoides,flavidus,melanops","olive, yellowtail or black rockfish young of the year, This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black)"
FISH,SMURF,OYT,Sebastes,"serranoides,flavidus","olive or yellowtail  rockfish, This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail)"
FISH,SMURF,OYT(?),Sebastes,"serranoides,flavidus","olive or yellowtail  rockfish, This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail)"
FISH,SMURF,PHOL,Pholididae,spp.,"Gunnels, unidentified sp.  'Apodichthys flavidus-penpoint gunnel lumped in with PHOL"
FISH,SMURF,PIPEFISH,,,"0,"
FISH,SMURF,RFYOY,,,"0,"
FISH,SMURF,RMUS,Rimicola,muscarum,"Kelp Clingfish,"
FISH,SMURF,RNIC,Rhinogobiops,nicholsii,"Blackeye Goby,"
FISH,SMURF,RRIC,Rhamphocottus,richardsoni,"Grunt sculpin,"
FISH,SMURF,RYOY,Sebastes,spp.,"Rockfish young of the year, unidentified sp., Any unidentified YOY rockfish"
FISH,SMURF,SARDINE,,,"0,"
FISH,SMURF,SATR,Sebastes,atrovirens,"kelp rockfish,"
FISH,SMURF,SCAL,Squatina,californica,"pacific angel shark,"
FISH,SMURF,SCAR,Sebastes,carnatus,"gopher rockfish,"
FISH,SMURF,SCAU,Sebastes,caurinus,"copper rockfish,"
FISH,SMURF,SCHR,Sebastes,chrysomelas,"black and yellow rockfish,"
FISH,SMURF,SDIP,Sebastes,diploproa,"spitnose rockfish,"
FISH,SMURF,SEBSPP,,,"Rockfish, unidentified sp.,"
FISH,SMURF,SENT,Sebastes,entomelas,"widow rockfish,"
FISH,SMURF,SFLA,Sebastes,flavidus,"Yellowtail Rockfish,"
FISH,SMURF,SGIL,Synchirus,gilli,"Manacled Sculpin,"
FISH,SMURF,SMAR,Scorpaenichthys,marmoratus,"cabezon,"
FISH,SMURF,SMEL,Sebastes,melanops,"black rockfish,"
FISH,SMURF,SMYS,Sedastes,mystinus,"blue rockfish,"
FISH,SMURF,SNAILFIS,,,"0,"
FISH,SMURF,SPAU,Sebastes,paucispinis,"bocaccio,"
FISH,SMURF,SPAU(2?),,,"0,"
FISH,SMURF,SPLIT,,,"0,"
FISH,SMURF,SRUB,Sebastes,rubivinctus,"flag rockfish,"
FISH,SMURF,SSAG,Sardinops,sagax,"pacific sardine,"
FISH,SMURF,SSAX,Sebastes,saxicola,"stripetail rockfish,"
FISH,SMURF,SSAX?,,,"0,"
FISH,SMURF,SSER,Sebastes,serranoides,"Olive Rockfish,"
FISH,SMURF,SSER?,,,"0,"
FISH,SMURF,SSPP,"Sebastes,",unidentified,"Rockfish, unidentified,"
FISH,SMURF,STICH,Stichaeidae,spp.,"Pricklebacks, unidentified sp."
FISH,SMURF,STRE,Sebastes,serriceps,"treefish,"
FISH,SMURF,SYNG,Syngnathus,spp.,"pipefish, unidentified sp."
FISH,SMURF,SYRI,,,"Manacled sculpin/Kelp clingfish,"
FISH,SMURF,SYRI,Synchirus / Rimicola,spp.,"Manacled sculpin/Kelp clingfish, Combined species group of Synchirus gilli and Rimicola muscarum"
FISH,SMURF,UNID,,,"Unidentified Fish,"
FISH,SMURF,USAN,Ulvincola,sanctaerosae,"Kelp gunnel,"
FISH,SMURF,XERPES,,,"0,"
QUAD,QUAD,AHOL,Alloclinus,holderi,"Island Kelpfish,"
QUAD,QUAD,ANTART,Anthopleura,artemesia,"moonglow anemone,"
QUAD,QUAD,CALANN,Calliostoma,annulatum,"purple-ringed top snail,"
QUAD,QUAD,CALLIG,Calliostoma,ligatum,"blue top snail,"
QUAD,QUAD,CENCOR,Centrostephanus,coronatus,"coronado urchin, crowned urchin,"
QUAD,QUAD,CERFOL,Ceratostoma,foliatum,"Leafy  hornmouth,"
QUAD,QUAD,CERNUT,Ceratostoma,nuttalli,"Nuttall's hornmouth,"
QUAD,QUAD,CERSPP,Ceratostoma,spp.,"Leafy or Nuttall's hornmouth,"
QUAD,QUAD,CHAOVO,Chaceia,ovoidea,"Wart-necked piddock,"
QUAD,QUAD,CHAPAR,Chaceia /Parapholas,spp.,"Wart-neck piddock/Scaleside piddock, Combined species group of Chaceia ovoidea and Parapholas californica"
QUAD,QUAD,CITH,Citharichthys,spp.,"Sanddabs, unidentified sp."
QUAD,QUAD,CONCAL,Conus,californicus,"califonia cone snail,"
QUAD,QUAD,COTT,Cottidae,spp.,"Sculpins, unidentifed sp."
QUAD,QUAD,CUCMIN,Cucumaria,miniata,"orange sea cucumber,"
QUAD,QUAD,CUCPIP,Cucumaria,piperata,"sea cucumber,"
QUAD,QUAD,CUCSAL,Cucumaria,salma,"sea cucumber,"
QUAD,QUAD,CUCSPP,Cucumaria,spp.,"sea cucumber, Any embedded (non-mobile) sea cucumber"
QUAD,QUAD,CYPSPA,Cypraea,spadicea,"chestnut cowrie,"
QUAD,QUAD,CYSOSMAD,Cystoseira,osmundacea,"bladder chain kelp,"
QUAD,QUAD,CYSOSMJUV,Cystoseira,osmundacea juvenile,"bladder chain kelp, Cystoseira juvenile < 6cm diameter"
QUAD,QUAD,DIOCHA,Diopatra/Chaetopterus,spp.,"ornate tube worm, Combined species group of Diopatra ornata and Chaetopterus sp."
QUAD,QUAD,EISARBJUV,Eisenia,arborea juvenile,", Eisenia juvenile < 30cm tall"
QUAD,QUAD,EUPQUI,Eupentacta,quinquesemita,"white sea cucumber,"
QUAD,QUAD,GIBB,Gibbonsia,spp.,"Kelpfish, unidentified sp."
QUAD,QUAD,GORGAD,,,"Gorgonian adult, Any gorgonian >3cm tall including Lophogorgia chilensis, Muricea fruticosa and Muricea californica"
QUAD,QUAD,GORGREC,,,"Gorgonian recruit, Gorgonian < 3cm tall"
QUAD,QUAD,HALCOR,Haliotis,corrugata,"pink abalone,"
QUAD,QUAD,HENLEVAD,Henricia,leviuscula,"blood star,"
QUAD,QUAD,HENLINREC,Henricia/Linkia,recruit,"blood star, Henricia sp. or Linkia sp. recruit < 1cm diameter"
QUAD,QUAD,HERMSPP,,,"Hermit Crab, unidentified sp.,"
QUAD,QUAD,HROS,Heterostichus,rostratus,"giant kelpfish,"
QUAD,QUAD,KELKEL,Kelletia,kelletii,"kellet's whelk,"
QUAD,QUAD,KELPJUV,,,"Kelp juvenile, unidentified, These are Laminarian recruits that are too small to identify to species"
QUAD,QUAD,LAMSETJUV,Laminaria,setchellii juvenile,", Laminaria setchelli juvenile < 30cm tall"
QUAD,QUAD,LAMSPJUV,Laminaria,spp. juvenile,", Laminaria spp. juvenile < 10cm width"
QUAD,QUAD,LDAL,Lythrypnus,dalli,"Bluebanded Goby,"
QUAD,QUAD,LEPHEXAD,Leptasterias,hexactis,","
QUAD,QUAD,LEPHEXREC,Leptasterias,hexactis recruit,", Leptasterias recruit < 1cm diameter"
