sample_type,sample_subtype,pisco_classcode,genus,species,description
QUAD,QUAD,LINCOL,Linckia,columbiae,"fragile star,"
QUAD,QUAD,LYTANAAD,Lytechinus,anamesus,"white urchin (adult > 2.5 cm),"
QUAD,QUAD,LYTANAREC,Lytechinus,anamesus,"white urchin (Juvenile < 2.5 cm),"
QUAD,QUAD,LZEB,Lythrypnus,zebra,"zebra goby,"
QUAD,QUAD,MACPYRJUV,Macrocystis,pyrifera juvenile,"giant kelp, Macrocystis juvenile < 1m tall"
QUAD,QUAD,MAXSPP,Maxwellia,spp.,","
QUAD,QUAD,MITIDA,Mitra,idae,"Ida's miter,"
QUAD,QUAD,MYTCAL,Mytilus,californianus,"california mussel,"
QUAD,QUAD,NORNOR,Norrisia,norrisi,"Norris's top snail,"
QUAD,QUAD,NO_ORG,,,"No organisms present in this sample,"
QUAD,QUAD,OPHESM,Ophioplocus,esmarki,"Smooth brittlestar,"
QUAD,QUAD,OPHSPI,Ophiothrix,spiculata,"Spiny brittlestar,"
QUAD,QUAD,OPHSPI_COVER,Ophiothrix,spiculata % cover,"Spiny brittlestar, Ophiothrix spiculata recorded as percent cover"
QUAD,QUAD,OPIC,Oxylebius,pictus,"painted greenling,"
QUAD,QUAD,PACFIM,Pachycerianthus,fimbratus,"burrowing anemone,"
QUAD,QUAD,PACRUB,Pachythone,rubra,"red sea cucumber,"
QUAD,QUAD,PACRUB_COVER,Pachythone,rubra % cover,"red sea cucumber, Pachytheone rubra recorded as percent cover"
QUAD,QUAD,PARPHO,Parapholas,californica,"scaleside piddock,"
QUAD,QUAD,PATMINREC,Patiria,miniata recruit,"bat star, Patiria recruit < 2.5 cm diameter"
QUAD,QUAD,PISREC,Pisaster,spp. recruit,", Pisaster recruit < 2.5cm diameter"
QUAD,QUAD,PTECALJUV,Pterygophora,californica juvenile,", Pterygophora juvenile < 30cm tall"
QUAD,QUAD,PUGPRO,Pugettia,producta,"kelp crab,"
QUAD,QUAD,PUGRIC,Pugettia,richii,"kelp crab,"
QUAD,QUAD,RNIC,Rhinogobiops,nicholsi,"Blackeye Goby,"
QUAD,QUAD,SGUT,Scorpaena,guttata,"california scorpionfish, sculpin,"
QUAD,QUAD,SMAR,Scorpaenichthys,marmoratus,"cabezon,"
QUAD,QUAD,STARREC,,,"Starfish Recruit, unidentified,"
QUAD,QUAD,STRFRAAD,Strongylocentrotus,franciscanus,"red urchin,"
QUAD,QUAD,STRFRAREC,Strongylocentrotus,franciscanus recruit,"red urchin, Strongylocentrotus franciscanus recruit < 2.5cm diameter"
QUAD,QUAD,STRPURAD,Strongylocentrotus,purpuratus,"purple urchin,"
QUAD,QUAD,STRPURAD_COVER,Strongylocentrotus,purpuratus % cover,"purple urchin, Strongylocentrotus purpuratus recorded as percent cover"
QUAD,QUAD,STRPURREC,Strongylocentrotus,purpuratus recruit,"purple urchin, Strongylocentrotus purpuratus recruit < 2.5cm diameter"
QUAD,QUAD,STYMON,Styela,montereyensis,"stalked tunicate,"
QUAD,QUAD,TEGSPP,Tegula,spp.,", Any species in the genus Tegula"
SIZEFREQ,SIZEFREQ,HALASS,Haliotis,assimilis,"threaded abalone,"
SIZEFREQ,SIZEFREQ,HALCOR,Haliotis,corrugata,"pink abalone,"
SIZEFREQ,SIZEFREQ,HALCRA,Haliotis,cracherodii,"black abalone,"
SIZEFREQ,SIZEFREQ,HALKAM,Haliotis,kamtschatkana,"pinto abalone,"
SIZEFREQ,SIZEFREQ,HALRUF,Haliotis,rufescens,"red abalone,"
SIZEFREQ,SIZEFREQ,HALSPP,Haliotis,spp.,"abalone spp.,"
SIZEFREQ,SIZEFREQ,HALWAL,Haliotis,wallalensis,"flat abalone,"
SIZEFREQ,SIZEFREQ,LYTANAAD,Lytechinus,anamesus,"white urchin (adult > 2.5 cm),"
SIZEFREQ,SIZEFREQ,NO_ORG,,,"No organisms present in this sample,"
SIZEFREQ,SIZEFREQ,PANINT,Panulirus,interruptus,"spiny lobster,"
SIZEFREQ,SIZEFREQ,STRFRAAD,Strongylocentrotus,franciscanus,"red urchin, adult > 2.5cm"
SIZEFREQ,SIZEFREQ,STRPURAD,Strongylocentrotus,purpuratus,"purple urchin, adult > 2.5cm"
SWATH,ALGAE,AGAFIM,Agarum,fimbriatum,"fringed sieve kelp,"
SWATH,ALGAE,ALAMAR,Alaria,marginata,"angel wing kelp,"
SWATH,ALGAE,COSCOS,Costaria,costatum,","
SWATH,ALGAE,CYSOSMAD,Cystoseira,osmundacea,"bladder chain, Adult diameter > 6cm"
SWATH,ALGAE,DICCAL,Dictyoneurum,californicum,", This sp. And Dictyoneuropsis reticulata were considered to be  separate species,  they have since been shown to be all Dictyoneurum californica"
SWATH,ALGAE,EGRMEN,Egregia,menziesii,"feather boa kelp,"
SWATH,ALGAE,EISARBAD,Eisenia,arborea,", adult stipe height > 30cm"
SWATH,ALGAE,EUGRUB,Eugorgia,rubens,"purple gorgonian,"
SWATH,ALGAE,LAMFAR,Laminaria,farlowii,", adult blade width > 10cm"
SWATH,ALGAE,LAMSAC,Laminaria,saccharina,", adult blade width > 10cm"
SWATH,ALGAE,LAMSET,Laminaria,setchellii,", adult stipe height > 30cm"
SWATH,ALGAE,LAMSPP,Laminaria,spp.,","
SWATH,ALGAE,MACPYRAD,Macrocystis,pyrifera,"giant kelp, adult height > 1m (also used as a placeholder in swath data when no MACPYRAD were seen"
SWATH,ALGAE,NERLUE,Nereocystis,luetkeana,"bull kelp,"
SWATH,ALGAE,NO_ORG,,,"No organisms present in this sample,"
SWATH,ALGAE,PLEGAR,Pleurophycus,gardneri,","
SWATH,ALGAE,PORINF,Poraniopsis,inflata,"Spiny sea star,"
SWATH,ALGAE,PTECALAD,Pterygophora,californica,", adult stipe height > 30cm"
SWATH,ALGAE,UNDPIN,Undaria,pinnatifida,","
SWATH,INVERT,ANTSOL,Anthopleura,sola,"green anemone,"
SWATH,INVERT,ANTSPP,Anthopleura,spp.,","
SWATH,INVERT,ANTXAN,Anthopleura,xanthogrammica,"giant green anemone,"
SWATH,INVERT,APLCAL,Aplysia,californica,"california brown sea-hare,"
SWATH,INVERT,ASTSPP,,,"unknown seastar,"
SWATH,INVERT,BALNUB,Balanus,nubilis,"barnacle,"
SWATH,INVERT,CANSPP,Cancer,spp.,"cancer crab,"
SWATH,INVERT,CENCOR,Centrostephanus,coronatus,"coronado urchin, crowned urchin,"
SWATH,INVERT,CERFOL,Ceratostoma,foliatum,"Leafy Hornmouth,"
SWATH,INVERT,CRAGIG,Crassedoma,giganteum,"rock scallop,"
SWATH,INVERT,CRAVIL,Craniella,villosa,"tennis ball sponge,"
SWATH,INVERT,CRYDEC,,,"cryptic decorator crab unid. Spp.,"
SWATH,INVERT,CRYSIT,Cryptolithoides,sitchensis,"umbrella crab,"
SWATH,INVERT,CRYSTE,Cryptochiton,stelleri,"gumboot chiton,"
SWATH,INVERT,CUCMIN,Cucumaria,miniata,"red sea cucumber,"
SWATH,INVERT,CUCSPP,Cucumaria,spp.,"sea cucumber, Any embedded (non-mobile) sea cucumber"
SWATH,INVERT,CYPSPA,Cypraea,spadicea,"chestnut cowrie,"
SWATH,INVERT,DERIMB,Dermasterias,imbricata,"leather star,"
SWATH,INVERT,DIOASP,Diodora,aspera,"rough keyhole limpet,"
SWATH,INVERT,EPIPRO,Epiactis,prolifera,"Brooding Anemone,"
SWATH,INVERT,EVATRO,Evasterias,troschelli,"Mottled star,"
SWATH,INVERT,GORGAD,,,"Gorgonian adult, Any gorgonian >3cm tall including Lophogorgia chilensis, Muricea fruticosa and Muricea californica"
SWATH,INVERT,HALASS,Haliotis,assimilis,"threaded abalone,"
SWATH,INVERT,HALCOR,Haliotis,corrugata,"pink abalone,"
SWATH,INVERT,HALCRA,Haliotis,cracherodii,"black abalone,"
SWATH,INVERT,HALFUL,Haliotis,fulgens,"green abalone,"
SWATH,INVERT,HALKAM,Haliotis,kamtschatkana,"pinto abalone,"
SWATH,INVERT,HALRUF,Haliotis,rufescens,"red abalone,"
SWATH,INVERT,HALSPP,Haliotis,spp.,"abalone spp.,"
SWATH,INVERT,HALWAL,Haliotis,wallalensis,"flat abalone,"
SWATH,INVERT,HENLEV,Henricia,leviuscula,"blood star,"
SWATH,INVERT,KELKEL,Kelletia,kelletii,"kellet's whelk,"
SWATH,INVERT,LOPCHI,Lophogorgia,chilensis,"red gorgonian,"
SWATH,INVERT,LOPMAN,Lopholithodes,mandtii,"Puget Sound king crab,"
SWATH,INVERT,LOXGRA,Loxorhychus,grandis,"sheep crab,"
SWATH,INVERT,LOXSCY,Loxorhynchus/Scyra,spp.,"decorator crab, moss crab, Combined species group of Loxorhynchus crispatus and Scyra acutifrons"
SWATH,INVERT,LYTANAAD,Lytechinus,anamesus,"white urchin (adult > 2.5 cm),"
SWATH,INVERT,MEDAEQ,Mediaster,aequalis,"red star,"
SWATH,INVERT,MEGCRE,Megathura,crenulata,"giant key-hole limpet,"
SWATH,INVERT,MEGGIB,Megastrea,gibberosum,"red turban snail,"
SWATH,INVERT,MEGSPP,Megastrea,spp.,"turban snail,"
SWATH,INVERT,MEGUND,Megastrea,undosum,"wavy turban snail,"
SWATH,INVERT,METSPP,Metridium,spp.,"white plumed anemones,"
SWATH,INVERT,MIMFOL,Mimulus,foliatus,"mimicking crab,"
SWATH,INVERT,MURCAL,Muricea,califoniica,"california golden gorgonian,"
SWATH,INVERT,MURFRU,Muricea,fruticosa,"brown gorgonian,"
SWATH,INVERT,NUCLAM,Nucella,Lamellosa,","
SWATH,INVERT,ORTKOE,Orthasterias,koehleri,"rainbow star,"
SWATH,INVERT,PACFIM,Pachycerianthus,fimbratus,"tube-dwelling anemone, burrowing anemone,"
SWATH,INVERT,PANINT,Panulirus,interruptus,"spiny lobster,"
SWATH,INVERT,PARCAL,Parastichopus,californicus,"california sea cucumber,"
SWATH,INVERT,PARPAR,Parastichopus,parvimensis,"warty sea-cucumber,"
SWATH,INVERT,PARSPP,Parastichopus,spp.,"sea cucumber,"
SWATH,INVERT,PATMIN,Patiria,miniata,"bat star,"
SWATH,INVERT,PISBRE,Pisaster,brevispinus,"short spined star,"
SWATH,INVERT,PISGIG,Pisaster,giganteus,"giant spined star,"
SWATH,INVERT,PISOCH,Pisaster,ochraceous,"ochre star,"
SWATH,INVERT,PUGPRO,Pugettia,producta,"kelp crab,"
SWATH,INVERT,PUGRIC,Pugettia,richii,"kelp crab,"
SWATH,INVERT,PUGSPP,Pugettia,spp.,"kelp crab,"
SWATH,INVERT,PYCHEL,Pycnopodia,helianthoides,"sunflower star,"
SWATH,INVERT,SOLDAW,Solaster,dawsoni,"Dawson's sun star,"
SWATH,INVERT,SOLSTI,Solaster,stimpsoni,"Stimpson's sun star,"
SWATH,INVERT,STRFRAAD,Strongylocentrotus,franciscanus,"red urchin, adult > 2.5cm"
SWATH,INVERT,STRPURAD,Strongylocentrotus,purpuratus,"purple urchin, adult > 2.5cm"
SWATH,INVERT,STYCAL,Stylaster,californianus,"california hydrocoral, Hydrozoan"
SWATH,INVERT,STYMON,Styela,montereyensis,"stalked tunicate,"
SWATH,INVERT,TEALOF,Tealia,lofotensis,"strawberry anemone,"
SWATH,INVERT,TETAUR,Tethya,aurantia,"orange puff-ball sponge,"
SWATH,INVERT,UNIDSP,,,"Unidentified mobile invert species,"
SWATH,INVERT,URTCOR,Urticina,coriacea,"stubby rose anemone,"
SWATH,INVERT,URTCRA,Urticina,crassicornis,"?????,"
SWATH,INVERT,URTPIS,Urticina,piscivora,"fish-eating anemone,"
SWATH,INVERT,URTSPP,Urticina,spp.,", Any Urticina species other than U. piscivora and U. lofotensis"
UPC,COVER,AGLSTR,Aglaophenia,struthenoides,"ostrich-plume hydroid,"
UPC,COVER,ANEM,,,"Anemone, Any anemone including Pachycerianthus fimbriatus"
UPC,COVER,BARNAC,,,"Barnacle,"
UPC,COVER,BARROC,,,"Bare Rock,"
UPC,COVER,BARSAN,,,"Bare Sand,"
UPC,COVER,BRANCH,,,"Red algae (branching flat blade), Any red alga that has branching, compressed blades that are flat in cross section and roughly 1 cm or greater across. Branching should show a repeating pattern to be distinguished from tearing."
UPC,COVER,BROWN,,,"Brown algae, Any brown algae but not including Cystoseira, Dicyoneuropsis, Dictyoneurum, Egregia, Macrocystis, Laminariales, Sargassum, Desmarestia (these are distinguished and sampled separately). Typically consists of Colpomenia spp."
UPC,COVER,BRYO,,,"Bryozoan,"
UPC,COVER,BUSHY,,,"Red algae (cylindrical branches), Any red alga that has cylindrical to subcylindrical branching thalli. Thalli are not flat in cross section but if so are less than 1 cm across. Examples: Gelidium, Pterocladia, Gastroclonium, Gracilaria, Condracanthus canaliculatus"
UPC,COVER,BUSHY00,,,"Red alga with cylindrical branches. Definition used in 2000, Any red alga that has cylindrical to subcylindrical branching thalli. Thalli are not flat in cross section but if so are less than 1 cm across. Examples: Gelidium, Pterocladia, Gastroclonium, Gracilaria, Condracanthus canaliculatus"
UPC,COVER,CLAM,,,"Clam, Any embedded boring clam"
UPC,COVER,CLAVSPP,Clavularia,spp.,"Octocoral, Anthozoan"
UPC,COVER,COMTUN,,,"Tunicate -Colonial,compund,social, Includes Clavelina huntsmani, Distaplia occidentalis, Pycnoclavella stanleyi, Metandrocarpa spp. Didemnum carnulentum, Botrylloides spp., Archidistoma molle, Polyclinum planum"
UPC,COVER,CORCAL,Corynactis,californica,"strawberry anemone,"
UPC,COVER,CRUCOR,,,"Coralline algae -Crustose, Encrusting or crustose coralline algae"
UPC,COVER,CUCSPP,Cucumaria,spp.,"sea cucumber, Any embedded (non-mobile) sea cucumber"
UPC,COVER,CUPCOR,,,"Cup Coral, Includes Balanophyllia elegans, Astrangia lajollaensis, Paracyathus stearnsi"
UPC,COVER,CYSOSM,Cystoseira,osmundacea,"bladder chain kelp,"
UPC,COVER,DEADHOLD,,,"Macrosystis holdfast (dead),"
UPC,COVER,DESSPP,Desmarestia,spp.,"acidic seaweed,"
UPC,COVER,DIACAL,Diaporecia,californica,"southern staghorn bryozoan,"
UPC,COVER,DICCAL,Dictyoneurum,californicum,", This sp. And Dictyoneuropsis reticulata were considered to be  separate species,  they have since been shown to be all Dictyoneurum californica"
UPC,COVER,DICTYOTALES,Dictyotales,spp.,", This species group includes Dictyota spp. and Dictyopteris undulata"
UPC,COVER,DIOCHA,Diopatra/Chaetopterus,spp.,"ornate tube worm, Combined species group of Diopatra ornata and Chaetopterus sp."
UPC,COVER,DODFEW,Dodecaceria,fewkesi,","
UPC,COVER,EGRMEN,Egregia,menziesii,"feather boa kelp,"
UPC,COVER,ENCRED,,,"Red algae -Encrusting, Encrusting non-coralline red algae"
UPC,COVER,ERECOR,,,"Coralline algae -Erect/Articulated,"
UPC,COVER,ERECTRED,,,"Red fleshy algae, Any upright fleshy red algae recorded by CDFG divers"
UPC,COVER,GORGAD,,,"Gorgonian adult, Any gorgonian >3cm tall including Lophogorgia chilensis, Muricea fruticosa and Muricea californica"
UPC,COVER,GREEN,,,"Green algae, Any green algae including Codium, Ulva, Cladophora, Enteromorpha"
UPC,COVER,HYDROID,,,"Hydroid,"
UPC,COVER,JUVLAM,,,"Laminariales recruit, Smaller than adult size laminariales (eg, Macrocystis, Laminaria, Pterygophora, Eisenia, Pleurophycus"
UPC,COVER,LACY,,,"Red algae (lacy branching), Any red algae that is filamentous or finely, densely branched. Branches are too small to isolate by hand. Examples: Plocamium, Microcladia, Polysiphonia, Ceramium, Neoptilota."
UPC,COVER,LAMHOLD,,,"Laminariales holdfast (alive), This species group includes all Laminarian kelp holdfasts except Macrocystis pyrifera"
UPC,COVER,LEAFY,,,"Red algae (leaf-like), Any red alga that consists of single or multiple blades that have entire margins and do not branch past the basal portions. Can be torn but will not be in a repeating pattern. Examples: Gigartina, Mazaella, Halymenia, Schizymenia."
UPC,COVER,MACPYR_HF,,,"Macrosystis holdfast (alive),"
UPC,COVER,MUD,,,"Sediment/Mud, Defined as persistent fine sediment that can't be brushed away by hand"
UPC,COVER,MUSSEL,,,"Mussel,"
UPC,COVER,PACRUB,Pachythone,rubra,"red sea cucumber,"
UPC,COVER,PETMON,Petaloconchus,montereyensis,","
UPC,COVER,PHRCAL,Phragmatopoma,californica,"colonial sand tube worm,"
UPC,COVER,PHYSPP,Phyllospadix,spp.,"surfgrass,"
UPC,COVER,SALTRI,Salmacina,tribranchiata,"fragile tube worms,"
UPC,COVER,SARFIL,Sargassum,filicinum,","
UPC,COVER,SARMUT,Sargassum,muticum,","
UPC,COVER,SARSPP,Sargassum,spp.,","
UPC,COVER,SB00RED,,,"SB 2000 definition of 'Other Red' included all red algae except RHOSPP, BUSHY,  LEAFY, CRUCOR and ERECOR,"
UPC,COVER,SC00RED,,,"SC 2000 definition of 'Other Red' included all red algae except RHOSPP, BUSHY,  LEAFY, CRUCOR and ERECOR,"
UPC,COVER,SCALLOP,,,"Scallop, Any attached (non-moble) scallop"
UPC,COVER,SCSB99RED,,,"SC and SB 1999 definition of 'Other Red' included all red algae except RHOSPP, CRUCOR and ERECOR,"
UPC,COVER,SCUM,,,"Diatom Layer, Diatom layer or decomposing, flocculent material, ""Scum"""
UPC,COVER,SERPET,Serpulorbis/Petaloconchus,spp.,"tube snail, scaled worm shell, Combined species group of Serpulorbis squamigerus and Petaloconchus montereyensis"
UPC,COVER,SERSQU,Serpulorbis,squamigerus,"tube snail, scaled worm shell,"
UPC,COVER,SHELL,,,"Shell Debris,"
UPC,COVER,SOLTUN,,,"Tunicate -Solitary, Includes Corella willmeriana, Ascidia paratropa, Cnemidocarpa finmarkiensis, Styela montereyensis, Boltenia villosa, Halocynthia aurantia, Pyura haustor"
UPC,COVER,SPONGE,,,"Sponge,"
UPC,COVER,STYCAL,Stylaster,californicus,"california hydrocoral, Hydrozoan"
UPC,COVER,TUBEMAT,,,"Tubeworm mat., unidentified sp"
UPC,COVER,TUBEWORM,,,"Tubeworm, Any tube worm (spirorbids, sabellids, serpulids, terrebelids) excluding Dodecacaria, Salmacina, Diopatra and Phragmatopoma (distinguished and sampled separately)"
UPC,COVER,TURF,,,"Red filamentous turf, Dense turf of red filamentous algae < 1cm high"
UPC,COVER UCSB,STYPOR,Stylantheca,porphyra,"encrusting purple hydrocoral,"
UPC,RELIEF,FLATREL,,,"Vertical relief: Flat, 0 - 10 cm vertical relief recorded within box 0.5 m in front and back of the point and 1 m on either side"
UPC,RELIEF,HIREL,,,"Vertical relief: High, > 2 m vertical relief recorded within box 0.5 m in front and back of the point and 1 m on either side"
UPC,RELIEF,MODREL,,,"Vertical relief: Moderate, 1 m - 2 m vertical relief recorded within box 0.5 m in front and back of the point and 1 m on either side"
UPC,RELIEF,SLTREL,,,"Vertical Relief: Slight, 10 cm - 1 m vertical relief recorded within box 0.5 m in front and back of the point and 1 m on either side"
UPC,SUBSTRATE,BEDRK,,,"Substrate: Bedrock, Classification based on greatest diameter > 1 m"
UPC,SUBSTRATE,BOULD,,,"Substrate: Boulder, Classification based on greatest diameter 10cm - 1m"
UPC,SUBSTRATE,COB,,,"Substrate: Cobble, Classification based on greatest diameter < 10cm"
UPC,SUBSTRATE,SAND,,,"Substrate: Sand, Classification based on persistent sand that can not be brushed away from any lower substrate"
UPC,SUPERLAYER,UNDBRIT,,,"Brittlestars (layer above primary spaceholder), A layer of Brittlestars that is counted in addition to a primary space holder below"
UPC,SUPERLAYER,UNDDET,,,"Detritus (layer above primary spaceholder), Unattached algae/kelp detritus that is counted in addition to a primary space holder below"
UPC,SUPERLAYER,UNDLAM,,,"Laminaria farlowii sub-canopy (layer above primary spaceholder), A layer of Laminaria farlowii that is counted in addition to a primary space holder below"
UPC,SUPERLAYER,UNDPAC,,,"Pachythyone rubra (layer above primary spaceholder), A layer of Pachythone rubra that is counted in addition to a primary space holder below"
